applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,monthly_expenses,estimated_debt,dti_ratio,approved,approved_amount,interest_rate
APP00001,76753.71563849953,588.6348033445134,903.758738804416,17346.457779045413,32,ON,Full-time,20,592.0,18474.534304006003,5.1389261048207775,2,3,On Time,643.1641594303662,28.48177998277902,9.648261244844509,0,0.0,0.0
APP00002,55874.74954079217,573.5827343928869,598.858992053076,33315.377032484525,22,MB,Full-time,38,581.0,19830.103247835148,7.286787048315937,2,0,On Time,476.7732345645503,43.34932185392788,13.249606907959338,0,0.0,0.0
APP00003,82771.92965364884,1401.5242201531462,2319.0909982687926,45488.20433342913,31,ON,Full-time,85,727.0,33042.703623421345,23.954915598233683,2,1,On Time,1903.0096726972645,237.46055293095253,23.76145797169073,1,5919.298241341221,7.2
APP00004,,251.7537727807383,318.52584698614163,12496.18188933642,36,AB,Part-time,20,570.0,37322.61289350707,38.194595383147515,4,2,On Time,413.44578910476054,427.65662943280404,6.358466767927992,0,0.0,0.0
APP00005,53259.06546938102,443.55967091578265,1748.666559194055,27513.902534643483,47,QC,Part-time,3,642.0,33245.43275976844,69.51285209122896,5,0,On Time,1286.1916718727125,693.2954550416044,25.614909670789604,0,0.0,0.0
APP00006,53259.50266882978,745.2741196672511,246.91827080558357,27361.57960613273,27,BC,Full-time,37,651.0,40990.619267933114,24.273958305856493,7,0,On Time,313.6888664636405,298.50137491231385,23.517504496498496,0,0.0,0.0
APP00007,131874.55486212557,2349.387631762101,445.3855359336932,43834.54408314129,55,QC,Full-time,37,835.0,34519.88976206836,11.32928077104152,4,3,On Time,414.29101512034214,117.32565698996221,22.445997634624852,1,12546.86387155314,6.22
APP00008,87879.10697482404,1402.1804412290815,242.8614708131607,3475.327588432275,21,QC,Full-time,88,799.0,27533.35792311214,56.00598496027563,4,1,On Time,249.0975526763252,462.6098489243114,25.463940465680317,1,3475.327588432275,6.72
APP00009,47347.19262683412,883.7688833970177,583.8312313935866,21799.302492464656,35,ON,Full-time,47,526.0,20956.656788622,35.333365766007795,3,0,On Time,420.4221840385676,222.14076586352144,28.02893910885257,0,0.0,0.0
APP00010,78533.45739265763,544.719095934422,712.6276869709973,9940.818064804645,49,BC,Full-time,46,838.0,46770.57034066682,67.77240830214298,2,0,On Time,501.13165695500913,950.926256895531,22.853628032983348,1,9940.818064804645,5.86
APP00011,47490.793661914875,2968.804717383094,537.4893010774813,2055.0974146313047,50,QC,Part-time,7,558.0,36190.029654470985,39.90810947016503,2,1,Late <30,455.15257516459604,433.282699553744,85.96413295148109,0,0.0,0.0
APP00012,47435.92458299541,796.510140673045,1036.2162588778722,8204.51608550366,19,BC,Full-time,44,696.0,33547.18129665229,20.49647173468299,3,0,On Time,1152.4690150513197,206.27965596753586,25.367857094537737,0,0.0,0.0
APP00013,67574.17320049589,443.18522384342504,715.934466142748,48847.06296956175,72,BC,Full-time,45,596.0,22495.794237214646,28.579660125684057,5,0,On Time,799.2791035754462,192.87664606707497,11.295354537715584,0,0.0,0.0
APP00014,23002.538943600946,3336.7372463435895,173.5958551660566,11527.576966493127,36,AB,Full-time,102,641.0,35578.37285718007,30.113467706029756,4,2,On Time,182.49332743955708,321.41645462033324,190.83912658162882,0,0.0,0.0
APP00015,25274.2427686738,263.4747568873543,429.4065010503502,46816.507893454196,43,ON,Full-time,70,581.0,22006.745491351823,45.376354447365834,2,0,On Time,419.94751209816064,299.5757650945651,26.73316991382832,0,0.0,0.0
APP00016,45200.17490441385,1971.9611513132018,652.1708557451857,11057.462788916142,35,BC,Full-time,83,847.0,44731.34735251285,40.74744455978693,4,4,Late >60,550.5241943606032,546.8064288993268,66.86967700118085,0,0.0,0.0
APP00017,36083.26414852113,842.7339810744508,1482.3310741969121,46633.46614183974,65,ON,Full-time,101,665.0,22670.959823444828,13.640658682416479,4,1,Late <30,1782.2851598673446,92.77404748631636,31.111643050146025,0,0.0,0.0
APP00018,70061.1468597906,1399.8557152839776,869.4030859240175,33076.42582481541,55,ON,Full-time,42,702.0,43836.6727133915,57.096851111991974,2,0,On Time,907.590234896863,750.8807925484906,36.83759009203686,1,4351.528671494765,8.1
APP00019,38024.57583774577,1231.4494461089064,602.6664121945015,6547.710297594412,65,BC,Full-time,37,572.0,35582.21310525949,51.081346731552436,3,0,On Time,546.1223584056182,545.2762095317248,56.070863114068445,0,0.0,0.0
APP00020,29550.26968924983,1385.9764627403415,291.63652418175093,29513.842601202312,45,AB,Full-time,82,538.0,27787.818317813293,32.37598369287306,3,1,On Time,230.0650570126372,269.89738581541275,67.24299436731633,0,0.0,0.0
APP00021,124595.07828821737,3531.2846196380474,892.2397313981595,16607.187839473652,50,ON,Part-time,15,635.0,20019.83819794499,26.88189352403928,3,1,On Time,977.5618811351017,161.4513476416955,35.565475150512,0,0.0,0.0
APP00022,53482.61087929391,3189.2348375689685,1679.6660194880826,19774.50464292544,27,QC,Full-time,132,732.0,30163.828984350614,37.796504300034286,3,1,On Time,1372.7759982601522,342.02618757375205,79.23160744218343,0,0.0,0.0
APP00023,61930.25443446889,464.0115301835604,670.0737080094763,22568.37693391368,36,ON,Full-time,34,667.0,23699.439831724896,33.67024786808106,1,0,On Time,679.6091757538935,239.38980404065518,13.629551642843943,1,2398.256360861722,7.48
